Date,Open,High,Low,Close,Volume,Adj Close,,SMA 3,SMA 5,SMA 10,SMA 25,EMA 3,EMA 5,EMA 10,EMA 25,AD,ADOSC,OBV,MACD,MACDDef,MOM3,MOM5,MOM10,ROC3,ROC5,ROC 10,RSI3,RSI5,RSI10,RSI14,STOCH,WILLR3,WILLR5,WILLR10,WILLR14,BBANDs,BBANDf,,% high,Output - Training,1 if %hi > 2
30-11-2012,2445,2475.05,2426.1,2436.6,50700,2436.6,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-28949.23391,#N/A,50700,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,1.025430681,0,
29-11-2012,2438,2463,2425.65,2444.85,54300,2444.85,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-27422.72789,#N/A,-3600,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0,0,
28-11-2012,2469.15,2469.15,2469.15,2469.15,0,2469.15,,2469.066667,#N/A,#N/A,#N/A,2469.066667,#N/A,#N/A,#N/A,-27422.72789,#N/A,-3600,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-11.94331984,#N/A,#N/A,#N/A,#N/A,#N/A,,2.353257164,1,
27-11-2012,2420.05,2477,2416.6,2469.15,95900,2469.15,,2469.716667,#N/A,#N/A,#N/A,2473.033333,#N/A,#N/A,#N/A,43549.62311,#N/A,92300,#N/A,#N/A,1.95,#N/A,#N/A,0.078786287,#N/A,#N/A,53.7428023,#N/A,#N/A,#N/A,#N/A,-12.99668874,#N/A,#N/A,#N/A,#N/A,#N/A,,1.250993682,0,
26-11-2012,2390.1,2420,2390.1,2416.6,42900,2416.6,,2455.383333,2460.84,#N/A,#N/A,2446.516667,2460.84,#N/A,#N/A,76693.10137,#N/A,49400,#N/A,#N/A,-43,#N/A,#N/A,-1.745838408,#N/A,#N/A,12.55042582,#N/A,#N/A,#N/A,#N/A,-69.50517837,-69.50517837,#N/A,#N/A,2502.837114,2502.837114,,0.991578947,0,
23-11-2012,2375,2398.55,2356.6,2376,48500,2376,,2431.85,2440.076667,#N/A,#N/A,2422.533333,2440.076667,#N/A,#N/A,73051.26585,#N/A,900,#N/A,#N/A,-70.6,-76.5,#N/A,-2.859283559,-3.09084665,#N/A,8.760265937,13.39712919,#N/A,#N/A,#N/A,-83.88704319,-83.88704319,#N/A,#N/A,2506.939459,2501.476126,,1.829787234,0,
22-11-2012,2350,2393,2335.65,2384.75,75600,2384.75,,2403.85,2424.384444,#N/A,#N/A,2407.766667,2424.384444,#N/A,#N/A,126900.612,#N/A,-74700,#N/A,#N/A,-84,-70,#N/A,-3.391199031,-2.842062525,#N/A,7.841215388,12.56309591,#N/A,#N/A,#N/A,-41.79016005,-65.26353024,#N/A,#N/A,2501.898891,2494.743336,,1.502145923,0,
21-11-2012,2330,2365,2321.6,2348.35,54400,2348.35,,2385.516667,2404.58963,#N/A,#N/A,2386.383333,2404.58963,#N/A,#N/A,139560.5198,#N/A,-129100,#N/A,#N/A,-55,-104.15,#N/A,-2.272727273,-4.218050746,#N/A,4.37098757,9.021345147,#N/A,#N/A,#N/A,-65.23716699,-82.78635779,#N/A,#N/A,2485.711771,2479.5914,,0.037926675,0,
20-11-2012,2373,2373.9,2314.8,2325.4,67500,2325.4,,2377.3,2394.359753,#N/A,#N/A,2380.141667,2394.359753,#N/A,#N/A,96273.71777,#N/A,-61600,#N/A,#N/A,-24.65,-103.1,#N/A,-1.027704238,-4.162293096,#N/A,21.03350763,18.18552221,#N/A,#N/A,20.67538587,-86.44501279,-89.92395437,#N/A,#N/A,2428.729586,2432.999339,,1.432225064,0,
19-11-2012,2346,2379.6,2337.75,2359.9,62400,2359.9,,2372.833333,2389.439835,2421.425,#N/A,2379.870833,2389.439835,2421.425,#N/A,99926.76437,34440.18134,800,#N/A,#N/A,-13.4,-40.4,#N/A,-0.559966569,-1.669421488,#N/A,32.35632085,24.29069658,#N/A,#N/A,27.04681137,-30.40123457,-46.14925373,39527.04485,#N/A,2406.590838,2414.020673,,3.732608696,1,
